;Unnamed: 0;krs_code;krs_name;krs_type;krs_name_sh;lon_centr;lat_centr;magnitude;obscuration;Clouds
137;137;['09363'];Kreisfreie Stadt Weiden i.d.OPf.;Kreisfreie Stadt;Weiden i.d.OPf.;12.15451835;49.66922193;0.223;12.3;90
138;138;['09561'];Kreisfreie Stadt Ansbach;Kreisfreie Stadt;Ansbach;10.56365093;49.29218194;0.238;13.6;100
139;139;['09673'];Landkreis Rhön-Grabfeld;Landkreis;Rhön-Grabfeld;10.25489248;50.37131575;0.261;15.6;100
140;140;['12068'];Landkreis Ostprignitz-Ruppin;Landkreis;Ostprignitz-Ruppin;12.63596344;52.99140603;0.275;16.8;100
141;141;['01002'];Kreisfreie Stadt Kiel;Kreisfreie Stadt;Kiel;10.13251714;54.32477821;0.329;21.8;56
142;142;['03151'];Landkreis Gifhorn;Landkreis;Gifhorn;10.60418239;52.58027439;0.294;18.5;100
143;143;['03154'];Landkreis Helmstedt;Landkreis;Helmstedt;10.88883658;52.26073459;0.285;17.7;100
144;144;['03354'];Landkreis Lüchow-Dannenberg;Landkreis;Lüchow-Dannenberg;11.12299569;53.01984499;0.295;18.6;100
145;145;['03357'];Landkreis Rotenburg (Wümme);Landkreis;Rotenburg (Wümme);9.3065952;53.25073648;0.321;21.1;81
146;146;['05366'];Kreis Euskirchen;Kreis;Euskirchen;6.644152877;50.5364761;0.313;20.2;45
147;147;['05966'];Kreis Olpe;Kreis;Olpe;7.976469667;51.08618756;0.304;19.4;93
148;148;['06532'];Landkreis Lahn-Dill-Kreis;Landkreis;Landkreis Lahn-Dill-Kreis;8.365335002;50.64822748;0.291;18.3;96
149;149;['08436'];Landkreis Ravensburg;Landkreis;Ravensburg;9.779908802;47.8250432;0.224;12.4;100
150;150;['09163'];Kreisfreie Stadt Rosenheim;Kreisfreie Stadt;Rosenheim;12.10903261;47.8444687;0.19;9.8;100
151;151;['09178'];Landkreis Freising;Landkreis;Freising;11.74066971;48.44734766;0.206;11.0;100
152;152;['09180'];Landkreis Garmisch-Partenkirchen;Landkreis;Garmisch-Partenkirchen;11.1295938;47.55635857;0.199;10.5;100
153;153;['09375'];Landkreis Regensburg;Landkreis;Regensburg;12.1211508;49.0213539;0.211;11.4;100
154;154;['09377'];Landkreis Tirschenreuth;Landkreis;Tirschenreuth;12.2003417;49.89939151;0.226;12.6;100
155;155;['09762'];Kreisfreie Stadt Kaufbeuren;Kreisfreie Stadt;Kaufbeuren;10.61608942;47.87994461;0.213;11.5;100
156;156;['09780'];Landkreis Oberallgäu;Landkreis;Oberallgäu;10.25862256;47.57269186;0.212;11.5;100
157;157;['10041'];Landkreis Regionalverband Saarbrücken;Landkreis;Landkreis Regionalverband Saarbrücken;6.957292207;49.25137255;0.288;18.0;67
158;158;['16077'];Landkreis Altenburger Land;Landkreis;Altenburger Land;12.39911452;50.95641417;0.242;14.0;99
159;159;['01057'];Kreis Plön;Kreis;Plön;10.36369846;54.24334035;0.325;21.4;89
160;160;['03256'];Landkreis Nienburg (Weser);Landkreis;Nienburg (Weser);9.114351627;52.60920573;0.313;20.3;99
161;161;['03454'];Landkreis Emsland;Landkreis;Emsland;7.402690461;52.73829491;0.337;22.6;17
162;162;['03462'];Landkreis Wittmund;Landkreis;Wittmund;7.705577749;53.57617786;0.347;23.5;67
163;163;['05958'];Kreis Hochsauerlandkreis;Kreis;Kreis Hochsauerlandkreis;8.385007091;51.30685565;0.302;19.2;98
164;164;['06439'];Landkreis Rheingau-Taunus-Kreis;Landkreis;Landkreis Rheingau-Taunus-Kreis;8.081149602;50.14198254;0.287;17.9;98
165;165;['08117'];Landkreis Göppingen;Landkreis;Göppingen;9.717477185;48.66314333;0.239;13.7;100
166;166;['08311'];Stadtkreis Freiburg im Breisgau;Stadtkreis;Freiburg im Breisgau;7.818057635;47.99265226;0.255;15.1;100
167;167;['09274'];Landkreis Landshut;Landkreis;Landshut;12.19542412;48.55776547;0.202;10.7;100
168;168;['09276'];Landkreis Regen;Landkreis;Regen;13.09981742;49.02278827;0.198;10.3;100
169;169;['09463'];Kreisfreie Stadt Coburg;Kreisfreie Stadt;Coburg;10.96443661;50.26387254;0.249;14.6;100
170;170;['10043'];Landkreis Neunkirchen;Landkreis;Neunkirchen;7.117218793;49.37570247;0.288;17.9;64
171;171;['13074'];Landkreis Nordwestmecklenburg;Landkreis;Nordwestmecklenburg;11.25205551;53.8214816;0.307;19.7;100
172;172;['05916'];Kreisfreie Stadt Herne;Kreisfreie Stadt;Herne;7.208559399;51.53752898;0.321;21.0;52
173;173;['07132'];Landkreis Altenkirchen (Westerwald);Landkreis;Altenkirchen (Westerwald);7.744141123;50.75074399;0.301;19.2;95
174;174;['07312'];Kreisfreie Stadt Kaiserslautern;Kreisfreie Stadt;Kaiserslautern;7.760709397;49.43280071;0.28;17.2;100
175;175;['07339'];Landkreis Mainz-Bingen;Landkreis;Mainz-Bingen;8.079612769;49.92203678;0.283;17.5;100
176;176;['08135'];Landkreis Heidenheim;Landkreis;Heidenheim;10.18213937;48.66225375;0.233;13.1;100
177;177;['08231'];Stadtkreis Pforzheim;Stadtkreis;Pforzheim;8.712595628;48.8764227;0.257;15.2;100
178;178;['08416'];Landkreis Tübingen;Landkreis;Tübingen;8.987611593;48.48175137;0.247;14.3;100
179;179;['08435'];Landkreis Bodenseekreis;Landkreis;Landkreis Bodenseekreis;9.400766331;47.73346203;0.228;12.7;100
180;180;['09182'];Landkreis Miesbach;Landkreis;Miesbach;11.80899945;47.74163064;0.193;10.0;100
181;181;['09183'];Landkreis Mühldorf a.Inn;Landkreis;Mühldorf a.Inn;12.38184891;48.23933555;0.193;10.0;100
182;182;['09185'];Landkreis Neuburg-Schrobenhausen;Landkreis;Neuburg-Schrobenhausen;11.1972147;48.66442724;0.218;12.0;90
183;183;['09188'];Landkreis Starnberg;Landkreis;Starnberg;11.28173284;48.00604647;0.205;10.9;100
184;184;['09573'];Landkreis Fürth;Landkreis;Fürth;10.84966665;49.44669072;0.237;13.5;60
185;185;['09675'];Landkreis Kitzingen;Landkreis;Kitzingen;10.25604315;49.75323936;0.25;14.6;100
186;186;['09774'];Landkreis Günzburg;Landkreis;Günzburg;10.38112808;48.35281157;0.224;12.5;100
187;187;['12063'];Landkreis Havelland;Landkreis;Havelland;12.62833721;52.620813;0.269;16.2;99
188;188;['12072'];Landkreis Teltow-Fläming;Landkreis;Teltow-Fläming;13.27604843;52.07311901;0.251;14.7;100
189;189;['15083'];Landkreis Börde;Landkreis;Börde;11.34784255;52.22074688;0.278;17.1;100
190;190;['03103'];Kreisfreie Stadt Wolfsburg;Kreisfreie Stadt;Wolfsburg;10.78498432;52.41074704;0.289;18.0;90
191;191;['03158'];Landkreis Wolfenbüttel;Landkreis;Wolfenbüttel;10.58397727;52.12699997;0.287;17.8;100
192;192;['03451'];Landkreis Ammerland;Landkreis;Ammerland;8.013309583;53.21849299;0.337;22.6;11
193;193;['05162'];Kreis Rhein-Kreis Neuss;Kreis;Kreis Rhein-Kreis Neuss;6.649303598;51.14356583;0.322;21.1;17
194;194;['05766'];Kreis Lippe;Kreis;Lippe;8.950849417;51.98141816;0.305;19.5;95
195;195;['05914'];Kreisfreie Stadt Hagen;Kreisfreie Stadt;Hagen;7.497522225;51.34804473;0.314;20.4;89
196;196;['07331'];Landkreis Alzey-Worms;Landkreis;Alzey-Worms;8.157198227;49.75943597;0.28;17.2;100
197;197;['07334'];Landkreis Germersheim;Landkreis;Germersheim;8.246211587;49.11590346;0.268;16.1;100
198;198;['08225'];Landkreis Neckar-Odenwald-Kreis;Landkreis;Landkreis Neckar-Odenwald-Kreis;9.280065689;49.46654887;0.259;15.4;100
